
id;pos_x;pos_y;pos_z;degree;isAtSampleBorder
138;0.238191;0.309058;0.00236223;1;0
139;0.296853;0.311027;0.00275593;1;0
140;0.162994;0.377169;0.00275593;1;0
141;0.286617;0.274412;0.00314964;1;0
142;0.279924;0.383075;0.00314964;1;0
143;0.324413;0.259845;0.00354334;1;0
144;0.261814;0.325594;0.00354334;1;0
145;0.369689;0.184648;0.00393705;1;0
146;0.385043;0.253152;0.00393705;1;0
147;0.254727;0.346066;0.00393705;1;0
148;0.326775;0.368114;0.00393705;1;0
149;0.260633;0.390949;0.00393705;1;0
150;0.211419;0.18386;0.00433075;1;0
151;0.325987;0.256695;0.00433075;1;0
152;0.216931;0.294097;0.00472446;1;0
153;0.249215;0.327956;0.00472446;1;0
154;0.293704;0.390949;0.00472446;1;0
155;0.296066;0.211419;0.00511816;1;0
156;0.132678;0.313389;0.00511816;1;0
157;0.160238;0.368508;0.00511816;1;0
158;0.163387;0.343704;0.00551187;1;0
159;0.231892;0.357878;0.00551187;1;0
160;0.287404;0.227168;0.00590557;1;0
161;0.201577;0.303153;0.00590557;1;0
162;0.297641;0.314176;0.00590557;1;0
163;0.279137;0.315751;0.00590557;1;0
164;0.333468;0.368901;0.00590557;1;0
165;0.269688;0.31142;0.00629927;1;0
166;0.303546;0.312602;0.00629927;1;0
167;0.266932;0.395673;0.00629927;1;0
168;0.21575;0.18701;0.00669298;1;0
169;0.319295;0.219687;0.00669298;1;0
170;0.174805;0.233467;0.00669298;1;0
171;0.253152;0.29646;0.00669298;1;0
172;0.205514;0.320082;0.00669298;1;0
173;0.312602;0.324413;0.00669298;1;0
174;0.210632;0.346854;0.00669298;1;0
175;0.301578;0.408272;0.00669298;1;0
176;0.225593;0.181892;0.00708668;1;0
177;0.32205;0.275593;0.00708668;1;0
178;0.256302;0.363783;0.00708668;1;0
179;0.209845;0.374413;0.00708668;1;0
180;0.340555;0.380712;0.00708668;1;0
181;0.299216;0.392524;0.00708668;1;0
182;0.148033;0.281499;0.00748039;1;0
183;0.200002;0.306302;0.00748039;1;0
184;0.166931;0.272837;0.00787409;1;0
185;0.175986;0.275987;0.00787409;1;0
186;0.263388;0.277168;0.00787409;1;0
187;0.290554;0.393705;0.00787409;1;0
188;0.241341;0.172049;0.0082678;1;0
189;0.284255;0.216931;0.0082678;1;0
190;0.338586;0.246065;0.0082678;1;0
191;0.362996;0.278743;0.0082678;1;0
192;0.242916;0.314964;0.0082678;1;0
193;0.233861;0.339373;0.0082678;1;0
194;0.177561;0.370476;0.0082678;1;0
195;0.36024;0.37087;0.0082678;1;0
196;0.240947;0.382681;0.0082678;1;0
197;0.312602;0.153151;0.0086615;1;0
198;0.31457;0.155513;0.0086615;1;0
199;0.305909;0.253152;0.0086615;1;0
200;0.324413;0.262601;0.0086615;1;0
201;0.340555;0.265357;0.0086615;1;0
202;0.284255;0.274412;0.0086615;1;0
203;0.297247;0.331893;0.0086615;1;0
204;0.211419;0.369689;0.0086615;1;0
205;0.196459;0.382287;0.0086615;1;0
206;0.298822;0.211419;0.00905521;1;0
207;0.331499;0.221656;0.00905521;1;0
208;0.188978;0.383468;0.00905521;1;0
209;0.245278;0.167324;0.00944891;1;0
210;0.348822;0.170868;0.00944891;1;0
211;0.327562;0.319688;0.00944891;1;0
212;0.322838;0.324413;0.00944891;1;0
213;0.253546;0.350397;0.00944891;1;0
214;0.295279;0.351185;0.00944891;1;0
215;0.277562;0.162994;0.00984262;1;0
216;0.279137;0.263388;0.00984262;1;0
217;0.338192;0.333074;0.00984262;1;0
218;0.207089;0.33898;0.00984262;1;0
219;0.215356;0.252758;0.0102363;1;0
220;0.376775;0.334255;0.0102363;1;0
221;0.216931;0.335043;0.0102363;1;0
222;0.233861;0.341736;0.0102363;1;0
223;0.288979;0.364964;0.0102363;1;0
224;0.337799;0.368114;0.0102363;1;0
225;0.263782;0.396461;0.0102363;1;0
226;0.302759;0.209845;0.01063;1;0
227;0.246065;0.228349;0.01063;1;0
228;0.371264;0.279924;0.01063;1;0
229;0.29016;0.297247;0.01063;1;0
230;0.371657;0.316539;0.01063;1;0
231;0.248428;0.357484;0.01063;1;0
232;0.22638;0.359846;0.01063;1;0
233;0.213388;0.366933;0.01063;1;0
234;0.251184;0.390949;0.01063;1;0
235;0.309058;0.245672;0.0110237;1;0
236;0.298428;0.257483;0.0110237;1;0
237;0.198033;0.321263;0.0110237;1;0
238;0.166143;0.355909;0.0110237;1;0
239;0.324806;0.365752;0.0110237;1;0
240;0.283861;0.384256;0.0110237;1;0
241;0.316539;0.209057;0.0114174;1;0
242;0.198427;0.233467;0.0114174;1;0
243;0.342129;0.256695;0.0114174;1;0
244;0.223231;0.264176;0.0114174;1;0
245;0.248034;0.304727;0.0114174;1;0
246;0.260239;0.389374;0.0114174;1;0
247;0.351578;0.274412;0.0118111;1;0
